"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.188495019E2,6.498172097E1,2.552354596E1,8.251436853E0,2.950000048E0,1.348999939E2,3.790092468E0,2.500000000E0
1.198536125E2,6.498170135E1,2.552359099E1,8.202706697E0,2.890000105E0,1.331000061E2,3.790092468E0,2.500000000E0
1.208477750E2,6.498168379E1,2.552364114E1,8.065293689E0,2.950000048E0,1.295000000E2,3.790092468E0,2.500000000E0
1.218485775E2,6.498166666E1,2.552368989E1,8.140954994E0,2.920000076E0,1.298999939E2,3.790092468E0,2.500000000E0
1.228496437E2,6.498164964E1,2.552373963E1,8.654482481E0,2.950000048E0,1.283999939E2,3.790092468E0,2.500000000E0
1.238472465E2,6.498163305E1,2.552379124E1,8.889750841E0,3.000000000E0,1.279000015E2,3.790092468E0,2.500000000E0
1.248510978E2,6.498161419E1,2.552384420E1,9.170366042E0,3.099999905E0,1.306000061E2,3.790092468E0,2.500000000E0
1.258488247E2,6.498159425E1,2.552389218E1,9.162955998E0,3.009999990E0,1.338000031E2,3.790092468E0,2.500000000E0
1.268513975E2,6.498157417E1,2.552394282E1,9.255704163E0,3.119999886E0,1.301000061E2,3.790092468E0,2.500000000E0
1.278539857E2,6.498155507E1,2.552399737E1,9.576419028E0,3.180000067E0,1.288000031E2,3.790092468E0,2.500000000E0
1.288528784E2,6.498153601E1,2.552404785E1,9.435769721E0,3.019999981E0,1.321000061E2,3.790092468E0,2.500000000E0
1.298546711E2,6.498151676E1,2.552409870E1,9.468643137E0,2.990000010E0,1.303000031E2,3.790092468E0,2.500000000E0
1.308546706E2,6.498149824E1,2.552414882E1,9.750296621E0,3.089999914E0,1.316000061E2,3.790092468E0,2.500000000E0
1.318546710E2,6.498147798E1,2.552419365E1,9.413540989E0,2.950000048E0,1.370000000E2,3.790092468E0,2.500000000E0
1.328546711E2,6.498145495E1,2.552423284E1,9.151002287E0,2.970000029E0,1.425000000E2,3.790092468E0,2.500000000E0
1.338534809E2,6.498143098E1,2.552426716E1,9.091710427E0,2.970000029E0,1.478999939E2,3.790092468E0,2.500000000E0
1.348546714E2,6.498140599E1,2.552429687E1,9.572152117E0,2.980000019E0,1.526999969E2,3.790092468E0,2.500000000E0
1.358546720E2,6.498138073E1,2.552432433E1,9.283062604E0,2.950000048E0,1.538999939E2,3.790092468E0,2.500000000E0
1.368546705E2,6.498135550E1,2.552434719E1,9.246109956E0,2.890000105E0,1.595000000E2,3.790092468E0,2.500000000E0
1.378546712E2,6.498132832E1,2.552436618E1,9.222705818E0,2.990000010E0,1.646000061E2,3.790092468E0,2.500000000E0
1.388546700E2,6.498130074E1,2.552438223E1,9.325705506E0,2.980000019E0,1.643000031E2,3.790092468E0,2.500000000E0
1.398546715E2,6.498127417E1,2.552439643E1,9.221369947E0,2.829999924E0,1.658999939E2,3.790092468E0,2.500000000E0
1.408527630E2,6.498124647E1,2.552441227E1,9.241483809E0,2.990000010E0,1.658999939E2,3.790092468E0,2.500000000E0
1.418489079E2,6.498121874E1,2.552442642E1,9.271790737E0,3.009999990E0,1.673999939E2,3.790092468E0,2.500000000E0
