"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.040773970E-1,2.846428156E-1,1.945929527E-1,-4.189033508E-1
8.089270850E-1,3.018398285E-1,1.420202255E-1,-4.822254181E-1
8.137775530E-1,2.845956087E-1,1.996655464E-1,-5.217514038E-1
8.186288030E-1,2.057503462E-1,2.575874329E-1,-4.045648575E-1
8.234791680E-1,2.206748724E-1,2.991456985E-1,-3.953685760E-1
8.283288550E-1,2.400383949E-1,2.981135845E-1,-4.339561462E-1
8.331793760E-1,2.417571545E-1,3.119339943E-1,-4.750204086E-1
8.380305740E-1,1.650735140E-1,3.380274773E-1,-3.901100159E-1
8.428810430E-1,1.554396152E-1,3.076860905E-1,-3.821859360E-1
8.477306260E-1,1.266365051E-1,2.638363838E-1,-4.339046478E-1
8.525811470E-1,1.380847692E-1,2.233028412E-1,-4.284896851E-1
8.574323970E-1,2.108590603E-1,2.192671299E-1,-4.494857788E-1
8.622827620E-1,2.142056227E-1,2.370793819E-1,-3.944635391E-1
8.671324490E-1,2.363786697E-1,2.338473797E-1,-3.899278641E-1
8.719829700E-1,2.345017195E-1,2.381999493E-1,-3.285999298E-1
8.768341680E-1,2.042764425E-1,2.712545395E-1,-2.820405960E-1
8.816846370E-1,1.534042358E-1,2.614243031E-1,-1.811523438E-1
8.865342200E-1,8.219730854E-2,2.705512047E-1,-1.212215424E-1
8.913847410E-1,-4.296064377E-3,2.603819370E-1,-4.248523712E-2
8.962359910E-1,-6.861889362E-2,2.167654037E-1,-2.593421936E-2
9.010863550E-1,-1.536788940E-1,1.516633034E-1,2.161884308E-2
9.059360430E-1,-1.835951805E-1,1.365330219E-1,-3.786563873E-2
9.107865120E-1,-2.162840366E-1,1.331322193E-1,-4.934310913E-2
9.156377620E-1,-2.635737658E-1,1.389446259E-1,-9.391403198E-2
9.204882300E-1,-2.870894670E-1,1.516168118E-1,-8.344268799E-2
9.253378140E-1,-2.629822493E-1,1.806621552E-1,-1.109495163E-1
9.301883350E-1,-2.415181398E-1,1.784353256E-1,-1.262540817E-1
9.350395850E-1,-1.986798048E-1,1.999275684E-1,-1.175870895E-1
9.398899490E-1,-1.559438705E-1,2.352054119E-1,-1.206512451E-1
9.447396370E-1,-1.227842569E-1,2.582073212E-1,-1.045522690E-1
9.495901050E-1,-1.558250189E-1,2.428519726E-1,-9.785938263E-2
9.544413550E-1,-1.785072088E-1,2.963378429E-1,-9.575748444E-2
9.592918240E-1,-2.052429914E-1,3.206505775E-1,-1.148099899E-1
9.641414070E-1,-2.079900503E-1,3.803992271E-1,-1.028051376E-1
9.689919280E-1,-2.344751358E-1,4.205098152E-1,-9.556102753E-2
9.738431260E-1,-2.084262371E-1,4.342865944E-1,-6.225299835E-2
9.786935950E-1,-1.704800129E-1,4.645729065E-1,-3.626251221E-2
9.835432300E-1,-1.519542933E-1,4.636504650E-1,-9.353637695E-2
9.883936990E-1,-1.339638233E-1,4.699311256E-1,-1.361522675E-1
9.932449490E-1,-7.371771336E-2,4.099678993E-1,-1.619262695E-1
9.980954180E-1,-2.351188660E-2,3.983290195E-1,-1.780834198E-1
1.002945001E0,-3.034412861E-2,3.491013050E-1,-2.249717712E-1
1.007795522E0,-6.534504890E-2,3.008918762E-1,-2.241172791E-1
1.012646720E0,-1.544054747E-1,2.606470585E-1,-2.518243790E-1
1.017497189E0,-2.263345718E-1,2.233033180E-1,-2.176408768E-1
1.022346824E0,-2.884653807E-1,2.196688652E-1,-1.339511871E-1
1.027197293E0,-2.790781260E-1,2.707707882E-1,-7.472896576E-2
1.032048543E0,-2.771342993E-1,2.571141720E-1,-2.778530121E-2
1.036899012E0,-3.110399246E-1,2.718884945E-1,6.964683533E-3
1.041748595E0,-3.399014473E-1,2.671139240E-1,2.025890350E-2
1.046599116E0,-3.590266705E-1,2.767629623E-1,4.056358337E-2
1.051450314E0,-2.993965149E-1,3.122508526E-1,2.524566650E-2
1.056300782E0,-2.615232468E-1,3.117463589E-1,4.813385010E-2
1.061150418E0,-2.927818298E-1,3.018696308E-1,3.522872925E-2
1.066000887E0,-2.905129194E-1,3.110575676E-1,2.485942841E-2
1.070852137E0,-3.640631437E-1,2.965934277E-1,5.732917786E-2
1.075702605E0,-3.132802248E-1,3.255157471E-1,5.620670319E-2
1.080552189E0,-3.526552916E-1,2.434654236E-1,2.645111084E-2
1.085402710E0,-4.375443459E-1,3.412756920E-1,7.051944733E-2
1.090253907E0,-3.043076992E-1,4.918189049E-1,6.185436249E-2
1.095104376E0,-2.118217945E-1,5.995261669E-1,2.458000183E-2
1.099954012E0,-1.761482954E-1,6.336731911E-1,1.086196899E-1
1.104804480E0,-1.801916361E-1,5.282428265E-1,1.135940552E-1
1.109655730E0,-1.784861088E-1,4.219684601E-1,1.019411087E-1
1.114506199E0,-1.523126364E-1,1.842591763E-1,1.735687256E-4
1.119355782E0,4.997205734E-2,2.507748604E-1,-8.652877808E-2
1.124206303E0,1.729124784E-1,3.173410892E-1,-1.250057220E-1
1.129057501E0,1.907552481E-1,2.556357384E-1,-1.774015427E-1
1.133907970E0,2.321876287E-1,3.040537834E-1,-2.103967667E-1
1.138757605E0,2.206747532E-1,2.049195766E-1,-2.336120605E-1
1.143608074E0,2.396399975E-1,2.206280231E-1,-2.732610703E-1
1.148459324E0,1.060067415E-1,1.576001644E-1,-2.935085297E-1
1.153309793E0,7.000839710E-2,2.656421661E-1,-3.016557693E-1
1.158159376E0,-2.209782600E-3,3.175978661E-1,-3.215150833E-1
1.163009897E0,-1.203001738E-1,2.831654549E-1,-2.937479019E-1
1.167861095E0,-1.961005926E-1,2.866456509E-1,-3.398828506E-1
1.172711564E0,-1.898126602E-1,3.064265251E-1,-3.976345062E-1
1.177561199E0,-1.283583641E-1,3.214840889E-1,-4.385719299E-1
1.182411668E0,7.858599424E-1,6.006965637E-1,-1.004639626E0
1.187262918E0,2.688356638E-1,3.050832748E-1,-4.553813934E-1
1.192113387E0,-1.327395439E-1,-7.224082947E-5,-2.762537003E-1
1.196962970E0,-4.459965229E-1,-3.473987579E-1,-5.081272125E-2
1.201813491E0,-3.150131702E-1,-6.438970566E-2,-4.770088196E-2
1.206664741E0,-1.218178272E-1,2.618970871E-1,2.684307098E-2
1.211515105E0,-1.483721733E-1,3.409168720E-1,3.574371338E-3
1.216364793E0,-2.389494181E-1,4.590713978E-1,1.564006805E-1
1.221215262E0,-3.054515123E-1,4.491171837E-1,2.275743484E-1
1.226066512E0,-2.954396009E-1,6.013681889E-1,3.105201721E-1
1.230916980E0,-2.989891768E-1,5.536038876E-1,3.269014359E-1
1.235766564E0,-1.749335527E-1,5.548260212E-1,3.414211273E-1
1.240617085E0,5.473256111E-3,6.758570671E-1,3.376293182E-1
1.245468335E0,-6.449913979E-2,4.929041862E-1,3.679409027E-1
1.250318699E0,2.545607090E-2,4.380671978E-1,3.442392349E-1
1.255168387E0,9.778499603E-2,4.032459259E-1,3.120336533E-1
1.260018855E0,-4.436993599E-2,6.400890350E-1,2.238750458E-1
1.264870105E0,-1.037158966E-1,7.119824886E-1,6.099987030E-2
1.269720574E0,-1.579973698E-1,6.606597900E-1,-7.587432861E-3
1.274570157E0,-1.931517124E-1,6.536331177E-1,-8.722591400E-2
1.279420678E0,-1.791977882E-1,5.530014038E-1,-2.325935364E-1
1.284271928E0,4.325366020E-2,5.138604641E-1,-4.932737350E-1
1.289122293E0,2.235291004E-1,5.525984764E-1,-7.662277222E-1
1.293971980E0,-1.636269093E-1,4.819848537E-1,-1.487693787E-1
1.298822501E0,-3.181856871E-1,4.832980633E-1,-5.380249023E-2
1.303673699E0,-1.271176338E-2,5.151503086E-1,-5.486469269E-1
1.308524168E0,2.240800858E-2,4.374394417E-1,-7.381448746E-1
1.313373751E0,-1.304674149E-1,2.495028973E-1,-4.134321213E-1
1.318224272E0,-1.047722101E-1,4.552865028E-1,-3.148117065E-1
